docket_id,customer_id,short_name,order_size1,order_size2,net_out,unitizing_bundle_qty,unitizing_unit_qty,unitizing_max_height,unitizing_piling_pattern_id
110454,11806,,22.1,66.02,1.0,0,0,48,0
110455,11806,,22.1,66.02,1.0,0,0,48,0
110456,11806,,22.1,66.02,1.0,0,0,48,0
110457,11806,,22.1,66.02,1.0,0,0,48,0
110458,11806,,22.1,66.02,1.0,0,0,48,0
110459,11806,,22.1,66.02,1.0,0,0,48,0
110460,11806,,22.1,66.02,1.0,0,0,48,0
110461,11806,,22.1,66.02,1.0,0,0,48,0
110463,11806,,22.1,66.02,1.0,0,0,48,0
110464,11806,,22.1,66.02,1.0,0,0,48,0
110465,11806,,22.1,66.02,1.0,0,0,48,0
110466,11806,,22.1,66.02,1.0,0,0,48,0
110467,11806,,22.1,66.02,1.0,0,0,48,0
110468,11806,,22.1,66.02,1.0,0,0,48,0
110469,11806,,22.1,66.02,1.0,0,0,48,0
110470,11806,,22.1,66.02,1.0,0,0,48,0
110472,11806,,22.1,66.02,1.0,0,0,48,0
110475,11806,,22.1,66.02,1.0,0,0,48,0
110478,11806,,22.1,66.02,1.0,0,0,48,0
110479,11806,,22.1,66.02,1.0,0,0,48,0
110480,11806,,22.1,66.02,1.0,0,0,48,0
110481,11806,,22.1,66.02,1.0,0,0,48,0
110482,11806,,22.1,66.02,1.0,0,0,48,0
110483,11806,,22.1,66.02,1.0,0,0,48,0
110490,11806,,22.1,66.02,1.0,0,0,48,0
110491,11806,,22.1,66.02,1.0,0,0,48,0
110492,11806,,22.1,66.02,1.0,0,0,48,0
110494,11806,,22.1,66.02,1.0,0,0,48,0
110495,11806,,22.1,66.02,1.0,0,0,48,0
110496,11806,,22.1,66.02,1.0,0,0,48,0
110620,11806,,22.1,66.02,1.0,0,0,48,0
110621,11806,,22.1,66.02,1.0,0,0,48,0
110622,11806,,22.1,66.02,1.0,0,0,48,0
110623,11806,,22.1,66.02,1.0,0,0,48,0
110624,11806,,22.1,66.02,1.0,0,0,48,0
110625,11806,,22.1,66.02,1.0,0,0,48,0
110626,11806,,22.1,66.02,1.0,0,0,48,0
110627,11806,,22.1,66.02,1.0,0,0,48,0
110628,11806,,22.1,66.02,1.0,0,0,48,0
110629,11806,,22.1,66.02,1.0,0,0,48,0
110630,11806,,22.1,66.02,1.0,0,0,48,0
